id_pracownika,imie,nazwisko,pesel,stanowisko,poziom_dostepu,aktywny,id_dzialu
109,Sadeeqa,al-Nasir,67815249243,Health and Safety Inspector,3,tak,3
110,Eric,Prasad,65115649261,HR specialist,4,tak,6
111,Marissa,Stokes,42541257785,Supply Chain Manager,5,nie,5
112,Kifaaya,el-Alli,36118251612,Key Account Manager,3,tak,5
113,Jonathan,Aviado II,51751337265,Tax Specialist,2,tak,5
114,Jennifer,Rick,86169624447,Chief Accountant,1,tak,5
115,Domonique,Lopez,98623929744,Tax Specialist,9,tak,3
116,Abhaya,Lowe,86745575177,CIO,9,tak,4
117,Sullivan,Lafebre,78867366553,Data Base Administrator,10,nie,5
118,Alaina,Stevens,36629932517,Customer Relationships Manager,3,nie,5
119,Kathrine,Harding,36397177441,Data Base Administrator,7,tak,5
120,Karen,Billiamosa,18761764134,Network Administrator,5,tak,4
121,Jaden,Protho,17498659338,System Administrator,8,tak,1
122,Sydney,Ashurov,57948576579,Webmaster,7,tak,6
123,Benjamin,Jirsaraie,34678227155,Key Account Manager,10,tak,3
124,Clinton,Kostelecky,44336647239,Data Base Administrator,6,tak,5
125,Corshaid,Lynch,74421372872,Key Account Manager,2,tak,4
126,Marjaana,al-Ozer,92119975527,Network Administrator,9,tak,2
127,Hoang,Tehero,78285724751,System Administrator,2,tak,3
128,Farieha,Reeves,71862246678,HR specialist,6,tak,2
129,Thomas,Cornett,36165294586,Law Advisor,2,tak,2
130,Naaifa,el-Shahin,96964748538,Data Base Administrator,6,nie,3
131,Connor,Mccoy,22726941199,Supply Chain Manager,7,tak,5
132,Jacqueline,Toman,19794993627,Tax Specialist,2,tak,2
133,Morgan,Lee,75174511942,Network Administrator,10,tak,5
134,Grace,Khan,76694355789,Customer Relationships Manager,2,tak,3
135,Ilhaam,al-Jabbour,73615555549,Data Base Administrator,9,tak,5
136,Danielle,Villani,38884787738,HR specialist,2,tak,1
137,Danielle,Ward,33414753582,Supply Chain Manager,4,tak,1
138,Zachary,Schmalz,29633868665,Law Advisor,4,tak,4
139,Nassaar,al-Rehmann,73227936982,Key Account Manager,2,tak,3
140,Evan,Athwal,15434537668,Supply Chain Manager,5,nie,4
141,Anthony,Tappy,37252139419,Tax Specialist,6,tak,4
142,Aasima,al-Diab,27618631771,Supply Chain Manager,3,tak,1
143,Linda,Rains,63428153767,Customer Relationships Manager,4,tak,3
144,Dallas,Navajo,62568226836,Data Base Administrator,9,tak,5
145,Katie-Lynne,Charlie,22516483346,Network Administrator,1,tak,6
146,Naaila,el-Minhas,15292718526,Supply Chain Manager,7,tak,4
147,Christopher,Ortega,57665368234,Supply Chain Manager,6,tak,2
148,Stephen,Sozi,82251935878,Law Advisor,9,nie,4
149,Luke,Mccartney,52813862573,Supply Chain Manager,9,tak,6
150,Kamaal,el-Shahin,12382228462,Webmaster,1,tak,3
151,Teresa,Dizayee,73132778479,System Administrator,6,tak,2
152,Kathleen,Ly Payia,78328381816,Customer Relationships Manager,2,tak,6
153,Bill,Ho,34852261658,Data Base Administrator,5,tak,3
154,Nia,Tinsley,89861462997,Key Account Manager,1,tak,5
155,Dillon,Tapp,35847798882,Health and Safety Inspector,8,tak,5
156,Ja'Van,Hunt,27212321464,System Administrator,10,tak,2
157,Masood,el-Mussa,56577991183,System Administrator,7,tak,2
158,Tiffany,Bowman,86194323658,Supply Chain Manager,3,tak,2
159,Tyler,Rios,29755591624,Health and Safety Inspector,10,tak,1
160,Brodie,Lo'Pez,16852965813,Network Administrator,3,nie,1
161,Taylor,Outhouse,99593974121,CIO,9,tak,2
162,Edgar,Izaguirre,14546866883,System Administrator,2,tak,3
163,Taqiyya,al-Gaber,59574659967,System Administrator,2,tak,1
164,Joshua,Dillard,97919353467,CIO,6,tak,3
165,Malcolm,Roles,69393129798,Chief Accountant,6,tak,6
166,Erin,Hendricks,25638722947,Supply Chain Manager,6,tak,6
167,Patrick,Martin,34689642213,Data Base Administrator,1,tak,1
168,Keenan,King,31885583917,Health and Safety Inspector,3,tak,4
169,Justice,Bragg,61417833492,Data Base Administrator,3,nie,4
170,Ana Maria,Evenson,62912852269,Network Administrator,10,tak,5
171,Shaddaad,el-Sabir,85322151229,System Administrator,4,tak,2
172,Brandon,Polson,98583415959,System Administrator,5,tak,1
173,Tenai,Camacho,44637873951,Customer Relationships Manager,8,tak,3
174,Anthony,Rivera,66779123245,Key Account Manager,3,tak,5
175,Hakam,el-Ismael,48284149713,HR specialist,3,nie,4
176,Julian,Ballard,39612888615,Chief Accountant,8,tak,2
177,Joewid,Vo,66547442643,Data Base Administrator,8,tak,1
178,Janiece,Green,67187622734,Law Advisor,10,tak,2
179,Mileena,Yan,36674381612,Health and Safety Inspector,5,tak,6
180,James,Clark,22527912436,Key Account Manager,1,tak,5
181,Lakota,Kemp,67197628898,Supply Chain Manager,6,nie,3
182,Destiny,Smith,97446971981,Tax Specialist,9,tak,3
183,Mastoor,el-Shehata,89941496727,CIO,2,tak,6
184,Bennett,Kostos,52959765441,Tax Specialist,9,tak,2
185,Alaura,Garnett,91293784913,Tax Specialist,6,tak,1
186,Charline,Ross,88183168593,Data Base Administrator,8,tak,6
187,Jabril,Shakespeare,58933143139,Tax Specialist,2,tak,3
188,Margaret,Warp,54813376611,HR specialist,8,tak,1
189,Connor,Silva,66839241557,Health and Safety Inspector,4,tak,6
190,Kimberly,Gipson,63938384324,Tax Specialist,9,tak,3
191,Tamira,Herndon,15812214154,Customer Relationships Manager,7,tak,5
192,Faalih,el-Mahdi,65295224298,HR specialist,10,tak,3
193,Tseren-Yondon,Chang,91749396426,Supply Chain Manager,10,tak,6
194,Sirajuddeen,al-Saeed,75274287694,Webmaster,2,tak,6
195,Deangelo,Tarr,41514197841,Chief Accountant,10,tak,5
196,Tian,Mitsuhashi,21357981823,Law Advisor,9,nie,4
197,Sabine,Kama-Mccabe,67436344921,Webmaster,6,tak,2
198,Kaylee,Raben,24148717424,Webmaster,5,tak,3
199,Miguel,Marquez Ortiz,35831593596,CIO,10,tak,2
200,Jennifer,Hendricks,42841654317,Webmaster,6,tak,1
201,Joshua,Reynolds,12653712367,Tax Specialist,5,tak,6
202,Sheila,Clark,19852135687,System Administrator,9,nie,6
203,Thaamir,al-Wahba,41832475958,Tax Specialist,2,tak,2
204,Jessica,Ausler,11178734227,CIO,2,tak,4
205,Shannon,Moe,18866829898,Webmaster,2,tak,2
206,Anna,Ngan,14713669782,Supply Chain Manager,4,tak,3
207,Aujanair,Juniel,29366533539,Webmaster,2,nie,2
208,Hadeel,al-Semaan,26696166946,CIO,1,tak,1
209,Andrea,White,89488135676,Chief Accountant,5,tak,6
210,Danielle,Liggins,98413627188,Customer Relationships Manager,2,tak,2
211,Deja,Smith,37836743122,Network Administrator,1,tak,4
212,Koi,Murray,13632676926,HR specialist,4,tak,1
213,Lisa,Wahl,17234659196,Customer Relationships Manager,4,tak,5
214,Jessie,Johnson,76294662141,Tax Specialist,4,tak,3
215,Mumtaaza,el-Salam,15875175582,Law Advisor,3,tak,4
216,Nooriyya,al-Sabir,46938399121,Network Administrator,7,tak,5
217,Landon,Erickson,84347182216,Law Advisor,10,tak,5
218,Hanna,Eldridge,13423398429,System Administrator,9,tak,4
219,Rosa,Rodriguez Vazquez,26179155629,Data Base Administrator,4,tak,3
220,Yoo Jung,Chu,13961195972,Data Base Administrator,4,tak,3
221,Laura,Thomas,27635427137,Law Advisor,7,tak,2
222,Tallon,Israel,87824698585,Network Administrator,5,tak,1
223,Waleed,al-Abdullah,43345653548,HR specialist,6,tak,6
224,Michael,Balbuena,31443936757,Customer Relationships Manager,10,nie,2
225,Emani,Harris,25634374951,System Administrator,9,tak,3
226,Rachael,Sangalang,69947482696,Law Advisor,10,tak,3
227,John,Garner,95447538285,Chief Accountant,8,tak,1
228,Khaira,el-Akbari,19619882478,Network Administrator,8,tak,6
229,Melanie,Rosier,62187757225,CIO,4,tak,2
230,Kualii,Abenes,53835838555,HR specialist,1,tak,6
231,Neima,Vasquez,21537167678,Webmaster,2,tak,1
232,Joshua,Cruise,15775488618,Network Administrator,10,nie,6
233,Khrystal,Bulla,58489273483,Key Account Manager,2,tak,3
234,Steven,Valentine,75145299361,Supply Chain Manager,10,tak,2
235,Sean,Contouris,71212841796,HR specialist,8,tak,1
236,Deandre,Boggs,88445449475,Customer Relationships Manager,3,tak,2
237,Sean,Lyons,43927726584,CIO,1,tak,6
238,Torrie,Yellow,78681719364,System Administrator,4,tak,3
239,Alan,May,12862253627,Tax Specialist,10,tak,3
240,Husain,el-Mohammed,64898435888,Network Administrator,3,tak,5
241,Murtidevi,Nguyen,29797725784,Supply Chain Manager,9,tak,5
242,Shavel,Thornton,44626165873,CIO,2,tak,5
243,Luis,Aragon,16452825617,Customer Relationships Manager,5,nie,3
244,Mathew,Williams,27512918722,Customer Relationships Manager,6,tak,5
245,Wadha,el-Alam,73594568622,Customer Relationships Manager,4,tak,4
246,Carl,Lumsden,48588421456,System Administrator,4,nie,1
247,Atif,Trotter,52824128351,Health and Safety Inspector,10,tak,5
248,Anjellica,Snow,56356668493,CIO,7,tak,1
249,Ummu Kulthoom,al-Selim,18211559931,Tax Specialist,4,nie,1
250,Breeana,Redmond,41917818372,Customer Relationships Manager,3,tak,5
251,Annick,Ditges,95224734737,Supply Chain Manager,3,tak,4
252,Emilio,Venegas,43928866936,Network Administrator,1,tak,5
253,Taaj,al-Saleem,41884448441,CIO,9,tak,3
254,Silbret,Peters,81771153387,Webmaster,1,tak,3
255,Kelsey,Keenan,93263476169,Webmaster,9,tak,6
256,Jossilyn,Langley,11628266375,CIO,9,tak,3
257,Abigail,Mabry,38435935234,System Administrator,8,tak,2
258,Gregory,Mejia,51265214354,Network Administrator,9,tak,6
259,Tayyib,el-Sadek,44587193612,Supply Chain Manager,4,tak,2
260,Adyn,Macneill,89943982469,Key Account Manager,3,tak,5
261,Jerry,Smith,56563743981,HR specialist,9,tak,4
262,David,Hiraki,77863633312,Supply Chain Manager,5,nie,2
263,Shannon,Duk,18481414956,Data Base Administrator,10,nie,1
264,Karen,Cabral,57228442886,Network Administrator,9,tak,4
265,Larissa,Abeyta,76266181396,Health and Safety Inspector,1,tak,4
266,Ethan,Hotimsky,47916999591,CIO,9,tak,6
267,Austin,Wyatt,55998594923,Webmaster,9,tak,2
268,Olivia,Yazzie,28438355826,CIO,5,tak,2
269,Sasha,So,59784486251,Webmaster,3,tak,4
270,Radu,Simonovich,49616574118,Network Administrator,6,tak,5
271,Saqr,al-Eid,14331169835,Law Advisor,6,tak,5
272,Alexzaira,Ortiz,59932797618,Customer Relationships Manager,1,tak,4
273,Collin,Hill,46326693531,Chief Accountant,10,tak,5
274,Lauren,Valentine,89377783669,Health and Safety Inspector,8,tak,5
275,Steven,Penkowsky,53895883545,Health and Safety Inspector,2,tak,1
276,Antoine,Winford,61984221433,Health and Safety Inspector,1,tak,3
277,Jessica,Apple,92892671249,System Administrator,3,tak,4
278,Abdus Salam,el-Omar,86619367276,System Administrator,2,nie,5
279,Joel,Swanson,71148121982,Health and Safety Inspector,5,tak,3
280,Sydni,Herrera,11179888495,System Administrator,4,tak,5
281,Nabeel,el-Amiri,62956263577,Health and Safety Inspector,9,tak,6
282,Hafsa,al-Sadek,47197995768,Key Account Manager,10,tak,1
283,Andrew,Lange,61897528273,Tax Specialist,10,tak,3
284,Ashleigh,Enkh Amgalan,14116545611,Health and Safety Inspector,5,tak,4
285,Mercy,Gonzales,81789843457,Webmaster,9,tak,2
286,Marquis,Jacquet,41643823678,Chief Accountant,1,tak,1
287,Matthew,Morgan,41874654936,Webmaster,3,nie,5
288,Ricardo,Martin,19342819655,Law Advisor,10,tak,6
289,Jasmine,Kim,22523816964,System Administrator,4,nie,5
290,Ariel,Nguyen,83776391538,Tax Specialist,5,tak,1
291,Akshitsinh,Kim,25422452329,Tax Specialist,1,tak,4
292,Robert,Anthony,12651994457,Chief Accountant,8,tak,1
293,Mahuroos,al-Bacchus,88633698476,CIO,4,tak,5
294,Jose,Quintana,19644832734,Webmaster,7,tak,3
295,Ruby,Prast,25273842241,Data Base Administrator,3,tak,4
296,John,Saddoris,66242297324,Law Advisor,9,tak,6
297,Kanaan,al-Bashir,28987791732,Chief Accountant,10,tak,6
298,Yesenia,Madrid,13179564777,Tax Specialist,7,tak,6
299,Toby,Cordero,23366825248,System Administrator,10,tak,5
300,Alyssa,Warren,84751371293,Webmaster,10,tak,6
301,Paige,Zanon,38394414596,Data Base Administrator,10,tak,2
302,Joseph,Swigert,24498743892,Health and Safety Inspector,2,tak,6
303,Celina,Elizalde,92217398665,CIO,7,tak,5
304,Seth,Ortega,65844131227,Data Base Administrator,2,nie,6
305,Robert,Powless,47654418882,CIO,2,tak,5
306,Rosilynn,Tucker,66927624437,Supply Chain Manager,2,tak,2
307,Pedro,Lanza,43656472883,Webmaster,9,tak,5
308,Rakshmai,Tsumura,12648267797,Law Advisor,4,tak,4
309,Sabrina,Vue,29814986456,Health and Safety Inspector,8,tak,6
310,Cierra,Crow-Willard,26918526474,Data Base Administrator,4,tak,3
311,Cheyenne,Crum,16185851673,Chief Accountant,4,tak,1
312,Daniela,Gonzalez-Ramirez,54934831894,Tax Specialist,9,tak,6
313,Nicholas,Smyth,31715535127,Webmaster,9,tak,6
314,Henry,Hoang,79357137568,Supply Chain Manager,4,tak,3
315,Matthew,Palma,14226229929,Law Advisor,5,tak,4
316,Mackenzie,Krishnaswamy,24914676345,Tax Specialist,4,tak,1
317,Kathleen,Kates,14564793185,Tax Specialist,6,tak,4
318,James,Curtland,16848336824,Chief Accountant,6,tak,1
319,Martin,Lamb,38936242936,Chief Accountant,5,tak,3
320,Dearee,Kemp,71478918542,Data Base Administrator,3,tak,4
321,Caleb,Dragul,61842886677,Health and Safety Inspector,5,tak,5
322,Barton,Dowell,38169452942,Key Account Manager,3,nie,5
323,Randelle,Gray,83774188236,Law Advisor,4,tak,4
324,Scott,Green,51293538971,Law Advisor,10,tak,2
325,Quinten,Garcia-Brown,78191587814,CIO,4,tak,4
326,Mikaela,Fink,78146414664,Law Advisor,7,tak,3
327,Samaiyah,Lawson,69373528648,Supply Chain Manager,7,tak,2
328,Brightzen,Taylor,21989347485,Health and Safety Inspector,6,tak,4
329,Tyler,Blakeman,35273792123,Chief Accountant,4,tak,2
330,Megan,Tyson,93134765241,Key Account Manager,3,nie,4
331,Vilok,Huynh,93311456966,Law Advisor,8,nie,6
332,Aaron,Acuna,92648786251,Health and Safety Inspector,10,tak,5
333,Jonee,Neely,94967414739,System Administrator,1,tak,3
334,Daishawn,Travis,94743232667,Chief Accountant,8,tak,4
335,Kelsey,Ueda,33642739261,Webmaster,9,tak,6
336,Anthony,Nesby Jr,37743397392,Law Advisor,1,tak,3
337,Crissela,Suto,52421921482,Data Base Administrator,2,tak,4
338,Patrick,Mendoza-Quinones,78177224524,Tax Specialist,6,tak,3
339,Dylan,Palma,21122567217,Customer Relationships Manager,7,tak,5
340,Briana,Colin,77562683676,Key Account Manager,3,tak,5
341,Demetrius,Onuoha Onyekuru,69936913256,Customer Relationships Manager,3,tak,1
342,Minh,Nguyen,51551689976,Tax Specialist,1,tak,6
343,Marrissa,Claybourne,44175786263,Customer Relationships Manager,9,tak,6
344,Forrest,Griffin,63865517725,Health and Safety Inspector,3,tak,6
345,Chandler,Akhihiero,15338695725,HR specialist,8,tak,1
346,Jacob,Shannon,36381888179,Chief Accountant,5,tak,3
347,Alexis,Whiteskunk,44334359231,Network Administrator,7,nie,2
348,Autumn,Martinez,42871274752,System Administrator,3,tak,2
349,Sae,Yang,88387784497,CIO,10,nie,3
350,Kanya,Buasri,31589426575,Webmaster,9,tak,2
351,Jennifer,Aguirre,35814377489,Network Administrator,8,tak,4
352,Kaci,Ho,45179954246,Customer Relationships Manager,5,tak,3
353,Natalie,Damarelos,92469676515,Webmaster,4,tak,1
354,Davidray,Terry,93449869727,Webmaster,5,tak,6
355,Erica,Geisick,54442721575,Network Administrator,8,tak,4
356,Afnaan,al-Kaiser,79985227746,Law Advisor,3,tak,3
357,Jasmine,Ogletree,26565433442,Health and Safety Inspector,1,nie,3
358,Jared,Melonas,49695537368,Network Administrator,3,tak,1
359,Elaine,Lett,55815266287,Key Account Manager,10,nie,3
360,Eduardo,Laing,69862243293,Tax Specialist,4,tak,4
361,Jamal,Roberts,44773322163,System Administrator,8,tak,4
362,Larissa,Dillon,15421236352,Webmaster,9,tak,2
363,Nazmiyya,al-Abdalla,74617615522,Key Account Manager,5,tak,5
364,Danica,Orozco,14473752651,Tax Specialist,5,tak,3
365,Bethany,Panoncillo,71315885164,HR specialist,5,tak,5
366,Kalena,Whittemore,38438479667,Webmaster,8,tak,5
367,Julia,Mckinzie,64448827912,Supply Chain Manager,10,tak,4
368,Connor,Mason,45596942375,Customer Relationships Manager,9,tak,2
369,Alexander,Fangman,38273176648,System Administrator,1,tak,6
370,Thomas,Rodrick,28725542365,CIO,8,nie,6
371,Ishmam,Liu,75762212531,Health and Safety Inspector,1,tak,6
372,Lauren,Jin,98761643918,CIO,9,tak,2
373,Christian,Jaramillo,99433466398,Data Base Administrator,3,tak,5
374,Katie-Lynne,Robinson,73931758644,System Administrator,1,tak,4
375,Alyssa,Coleman,51797244128,CIO,8,tak,1
376,Rawda,al-Nazir,33627226988,Health and Safety Inspector,3,tak,3
377,Jennifer,Montelongo-Declay,85853183913,CIO,1,tak,2
378,Bich Tram,Ly,89399977557,Tax Specialist,1,tak,2
379,Ashley,Lefholz,13171862329,System Administrator,8,nie,3
380,Danielle,Nguyen,85563137154,HR specialist,5,tak,6
381,Ruqayya,el-Aman,11839179953,Chief Accountant,5,nie,1
382,Emily,Potts,54528786665,Tax Specialist,7,tak,5
383,Paxheenying,Oh,32756591526,CIO,6,tak,1
384,Arianna,Bentley,45764847126,Chief Accountant,7,tak,1
385,Chelsie,Morris,13776428526,Key Account Manager,1,tak,4
386,Jesse,Greve,58555328166,Chief Accountant,3,tak,5
387,Ghaada,el-Salehi,89738676614,CIO,5,tak,5
388,Richard,Vasquez,93749757738,Health and Safety Inspector,2,tak,5
389,Gabriela,Valdez-Paz,35717669846,HR specialist,8,tak,5
390,Ghuzaila,al-Shakir,39784219868,Network Administrator,3,tak,2
391,Joshua,Cheskaty,83845933785,Tax Specialist,2,tak,1
392,Jeremiah,Murr,57187743295,CIO,7,tak,3
393,Makalah,Saeed,71299357581,Customer Relationships Manager,5,tak,1
394,Gloria,Saugause-Villa,75347371725,Chief Accountant,8,tak,4
395,Vanessa,Castellanos,16963476541,Health and Safety Inspector,10,tak,2
396,Bayani,Su,41867172318,Customer Relationships Manager,2,tak,3
397,Darrell,Machin,95967312485,Health and Safety Inspector,4,tak,5
398,Saleema,al-Amara,51489191951,Chief Accountant,4,tak,1
399,Shay,Davis,27653211929,Chief Accountant,6,tak,6
400,Kiara,Straker,96616562684,CIO,3,tak,5
401,Julian,Ali,54852784778,Data Base Administrator,4,tak,6
402,Zaahira,al-Mansouri,31389895843,Tax Specialist,1,tak,6
403,Tyler,Ellerman,71792336496,Health and Safety Inspector,9,nie,6
404,Danielle,Botos,66924224916,Chief Accountant,5,tak,5
405,Chantel,Rivas-Esquivel,35433789231,Key Account Manager,4,tak,4
406,Asia,Henegan,62734672514,Webmaster,3,tak,2
407,Abdur Rasheed,al-Ben,99826456762,Data Base Administrator,7,tak,4
408,Jesse,Butterfield,41741293525,Health and Safety Inspector,1,tak,2
409,Seth,Abachiche,93139485735,Customer Relationships Manager,7,tak,5
410,Andrew,Ong,13282186592,HR specialist,9,tak,3
411,Sylvia,Del Rivero,54688682683,Health and Safety Inspector,9,tak,2
412,Julia,Russell,88681627314,Customer Relationships Manager,3,tak,4
413,Caitlin,Anderson,55969218449,Supply Chain Manager,3,tak,4
414,Steven,Bagaporo,86298298237,Health and Safety Inspector,10,tak,1
415,Zarqaa,el-Muhammad,52483858766,Customer Relationships Manager,1,tak,4
416,Leslie,Murray,74929862897,Webmaster,8,tak,4
417,Gabrielle,Le,99171714642,System Administrator,1,tak,1
418,Erik,Barrow,25681746433,System Administrator,3,tak,1
419,Geoffrey,Martinez,74178162737,Health and Safety Inspector,6,tak,4
420,Kayla,Otsuki,15475248714,Chief Accountant,7,nie,2
421,Michael,Martinez Estrada,95661735783,Key Account Manager,10,nie,2
422,Brittany,Tugade,42859524187,Tax Specialist,10,tak,1
423,David,Lee,99777989483,Customer Relationships Manager,1,nie,1
424,Jesus,Escarcega,19358496723,CIO,10,tak,5
425,Zaira,Martinez,38525748654,Customer Relationships Manager,6,tak,4
426,Andre,Darnell,26262461425,Health and Safety Inspector,2,tak,2
427,Tevin,Cornejo,68716512981,Health and Safety Inspector,3,tak,6
428,Ryan,Hata,35816231637,Tax Specialist,3,tak,4
429,Sidney,Davis,48971726462,Law Advisor,6,tak,5
